passenger_id,from_floor,to_floor,appear_tick,board_tick,alight_tick,miss_reason,waiting_passengers,elevator_snapshot
1,2,0,1,50,61,,无,E0:F0→0 stopped 0人 | E1:F0→2 up 0人
2,2,1,3,50,55,,2→0,E0:F0→1 up 0人 | E1:F0→2 up 0人
3,4,0,5,36,59,,2→0 | 2→1,E0:F0→1 up 0人 | E1:F0→2 up 0人
4,3,0,6,42,59,,2→0 | 2→1 | 4→0,E0:F0→1 up 0人 | E1:F1→2 up 0人
5,5,0,7,30,59,,2→0 | 2→1 | 4→0 | 3→0,E0:F1→1 up 0人 | E1:F1→2 up 0人
6,4,0,9,36,59,,2→0 | 2→1 | 4→0 | 3→0 | 5→0,E0:F1→2 up 0人 | E1:F1→2 up 0人
7,1,0,10,56,61,,2→0 | 2→1 | 4→0 | 3→0 | 5→0 | 4→0,E0:F1→2 up 0人 | E1:F1→2 up 0人
8,5,0,12,30,59,,2→0 | 2→1 | 4→0 | 3→0 | 5→0 | 4→0 | 1→0,E0:F1→2 up 0人 | E1:F2→3 up 0人
9,3,0,13,42,59,,2→0 | 2→1 | 4→0 | 3→0 | 5→0 | 4→0 | 1→0 | 5→0,E0:F2→2 up 0人 | E1:F2→3 up 0人
10,3,0,14,44,61,,2→0 | 2→1 | 4→0 | 3→0 | 5→0 | 4→0 | 1→0 | 5→0 | 3→0,E0:F2→3 up 0人 | E1:F2→3 up 0人
11,2,0,15,50,61,,2→0 | 2→1 | 4→0 | 3→0 | 5→0 | 4→0 | 1→0 | 5→0 | 3→0 | 3→0,E0:F2→3 up 0人 | E1:F2→3 up 0人
12,1,0,17,56,61,,2→0 | 2→1 | 4→0 | 3→0 | 5→0 | 4→0 | 1→0 | 5→0 | 3→0 | 3→0 | 2→0,E0:F2→3 up 0人 | E1:F3→3 up 0人
13,3,2,18,44,49,,2→0 | 2→1 | 4→0 | 3→0 | 5→0 | 4→0 | 1→0 | 5→0 | 3→0 | 3→0 | 2→0 | 1→0,E0:F2→3 up 0人 | E1:F3→4 up 0人
14,4,0,19,36,59,,2→0 | 2→1 | 4→0 | 3→0 | 5→0 | 4→0 | 1→0 | 5→0 | 3→0 | 3→0 | 2→0 | 1→0 | 3→2,E0:F3→3 up 0人 | E1:F3→4 up 0人
