passenger_id,from_floor,to_floor,appear_tick,board_tick,alight_tick,miss_reason,waiting_passengers,elevator_snapshot
1,4,2,4,36,47,,无,E0:F0→1 up 0人 | E1:F0→2 up 0人
2,4,2,21,36,47,,4→2,E0:F3→4 up 0人 | E1:F3→4 up 0人
3,3,2,44,102,107,,无,E0:F3→2 down 0人 | E1:F3→2 down 2人
4,1,3,55,66,77,,3→2,E0:F1→1 down 0人 | E1:F1→0 down 0人
5,1,3,63,66,77,,3→2 | 1→3,E0:F0→1 up 0人 | E1:F0→1 up 0人
6,1,4,64,66,83,,3→2 | 1→3 | 1→3,E0:F0→1 up 0人 | E1:F0→1 up 0人
7,1,4,72,126,143,,3→2,E0:F1→2 up 0人 | E1:F2→3 up 3人
8,1,4,75,126,143,,3→2 | 1→4,E0:F2→3 up 0人 | E1:F2→3 up 3人
9,2,4,78,132,143,,3→2 | 1→4 | 1→4,E0:F2→3 up 0人 | E1:F3→4 up 1人
10,5,1,80,90,113,,3→2 | 1→4 | 1→4 | 2→4,E0:F3→4 up 0人 | E1:F3→4 up 1人
11,4,2,82,96,107,,3→2 | 1→4 | 1→4 | 2→4 | 5→1,E0:F3→4 up 0人 | E1:F3→4 up 1人
12,5,1,85,90,113,,3→2 | 1→4 | 1→4 | 2→4 | 5→1 | 4→2,E0:F4→4 up 0人 | E1:F4→5 up 0人
13,5,2,93,150,167,,3→2 | 1→4 | 1→4 | 2→4 | 4→2,E0:F5→4 down 0人 | E1:F5→4 down 2人
14,2,3,96,132,137,,3→2 | 1→4 | 1→4 | 2→4 | 5→2,E0:F5→4 down 0人 | E1:F4→3 down 3人
15,2,3,97,132,137,,3→2 | 1→4 | 1→4 | 2→4 | 5→2 | 2→3,E0:F4→4 down 0人 | E1:F4→3 down 3人
16,2,5,104,132,149,,1→4 | 1→4 | 2→4 | 5→2 | 2→3 | 2→3,E0:F3→2 down 0人 | E1:F3→2 down 4人
17,3,1,107,162,173,,1→4 | 1→4 | 2→4 | 5→2 | 2→3 | 2→3 | 2→5,E0:F3→2 down 0人 | E1:F2→2 down 2人
18,2,3,111,132,137,,1→4 | 1→4 | 2→4 | 5→2 | 2→3 | 2→3 | 2→5 | 3→1,E0:F2→1 down 0人 | E1:F2→1 down 2人
19,3,1,113,162,173,,1→4 | 1→4 | 2→4 | 5→2 | 2→3 | 2→3 | 2→5 | 3→1 | 2→3,E0:F2→1 down 0人 | E1:F1→1 down 0人
20,2,3,114,132,137,,1→4 | 1→4 | 2→4 | 5→2 | 2→3 | 2→3 | 2→5 | 3→1 | 2→3 | 3→1,E0:F2→1 down 0人 | E1:F1→0 down 0人
21,3,2,116,162,167,,1→4 | 1→4 | 2→4 | 5→2 | 2→3 | 2→3 | 2→5 | 3→1 | 2→3 | 3→1 | 2→3,E0:F1→0 down 0人 | E1:F1→0 down 0人
22,2,3,127,134,139,,2→4 | 5→2 | 2→3 | 2→3 | 2→5 | 3→1 | 2→3 | 3→1 | 2→3 | 3→2,E0:F1→1 up 0人 | E1:F1→2 up 2人
23,2,3,139,192,197,,5→2 | 3→1 | 3→1 | 3→2,E0:F3→3 up 0人 | E1:F3→4 up 4人
24,2,5,166,192,,未下-超时(>200),2→3,E0:F3→2 down 0人 | E1:F3→2 down 4人
25,4,1,192,,,未接-超时(>200),无,E0:F1→2 up 0人 | E1:F2→3 up 2人
